Distance_(pixels),Gray_Value
667,28.1962
668,28.3193
669,28.2070
670,28.0098
671,28.3294
672,28.3126
673,28.0634
674,28.2093
675,28.5984
676,28.5045
677,28.1957
678,27.6177
679,27.6594
680,27.4385
681,27.4252
682,27.2332
683,27.0317
684,27.0470
685,27.3311
686,27.5564
687,27.7260
688,28.1765
689,28.1035
690,28.4878
691,28.7928
692,28.6473
693,28.4135
694,28.7286
695,29.8967
696,30.0795
697,29.6330
698,29.4464
699,29.3596
700,29.4276
701,30.0415
702,30.5353
703,30.3858
704,30.5426
705,30.2294
706,30.3956
707,30.6598
708,30.9403
709,30.8185
710,30.4518
711,30.3506
712,30.5548
713,30.7220
714,30.8043
715,30.6184
716,30.2341
717,29.9234
718,29.6412
719,29.7456
720,30.5649
721,30.4746
722,29.6465
723,29.9103
724,30.1681
725,30.3947
726,30.4353
727,29.7677
728,29.8082
729,30.3088
730,29.7989
731,30.0579
732,30.1537
733,30.2064
734,30.4172
735,30.1407
736,29.9098
737,30.5967
738,30.8407
739,30.6084
740,31.4610
741,31.8452
742,31.4936
743,31.5167
744,30.9001
745,30.8687
746,30.4416
747,29.6952
748,30.0138
749,29.8669
750,29.6806
751,29.6770
752,29.8473
753,30.5882
754,30.2026
755,29.7840
756,30.4283
757,30.6565
758,30.6285
759,31.0811
760,30.2588
761,29.4113
762,29.1362
763,29.4671
764,29.2598
765,28.8202
766,28.7706
767,28.6896
768,27.7065
769,27.5562
770,27.4019
771,27.3483
772,27.5477
773,27.7590
774,27.7656
775,27.8762
776,27.5132
777,27.1676
778,27.0730
779,27.2205
780,27.6931
781,28.0189
782,27.7332
783,27.7156
784,28.0481
785,28.5067
786,28.7393
787,28.4486
788,28.5436
789,28.3091
790,28.1167
791,28.4964
792,28.7369
793,28.0721
794,27.6378
795,27.6260
796,27.3090
797,27.2228
798,27.3681
799,27.4658
800,27.1858
801,27.4614
802,27.7458
803,27.6944
804,26.6686
805,26.5999
806,26.9173
807,27.1929
808,27.1865
809,27.5930
810,28.5170
811,28.8332
812,28.2405
813,27.6306
814,27.6413
815,27.4290
816,27.5131
817,27.2167
818,27.5698
819,28.3341
820,28.4058
821,28.0510
822,28.2359
823,27.7654
824,27.7413
825,27.4486
826,27.7429
827,28.0882
828,27.9327
829,27.6448
830,27.7769
831,28.0755
832,27.5630
833,27.3351
834,27.3243
835,27.0395
836,26.9318
837,27.0968
838,27.1473
839,27.3115
840,26.8225
841,26.6721
842,26.8587
843,27.2461
844,27.9411
845,28.8270
846,28.4160
847,28.2764
848,27.5929
849,27.3817
850,27.2013
851,27.7256
852,27.8607
853,27.4583
854,27.5832
855,28.0485
856,28.3202
857,28.7306
858,28.5792
859,27.8796
860,27.7345
861,27.2757
862,27.4978
863,27.5462
864,27.6376
865,27.6531
866,27.4923
867,26.9315
868,27.0511
869,27.2368
870,27.3903
871,27.4311
872,27.5165
873,27.4013
874,27.7344
875,27.9154
876,26.9077
877,26.7263
878,26.9186
879,26.7193
880,26.7673
881,27.0683
882,26.9247
883,27.1424
884,27.1941
885,26.7309
886,26.8741
887,27.0952
888,26.8956
889,26.7118
890,26.8225
891,26.7775
892,26.8239
893,26.4461
894,26.3978
895,26.5469
896,26.3828
897,26.2472
898,26.5404
899,26.0089
900,26.4819
901,27.2297
902,27.1766
903,27.2864
904,27.4530
905,27.0869
906,27.0166
907,27.5203
908,27.8533
909,27.5756
910,27.2628
911,27.1098
912,27.3711
913,27.3709
914,27.5064
915,28.0633
916,28.5893
917,28.7512
918,28.3527
919,27.4040
920,26.8601
921,26.6381
922,26.9791
923,26.9532
924,26.9662
925,26.9408
926,27.0836
927,27.4453
928,27.9606
929,27.7102
930,27.6680
931,27.5397
932,26.8138
933,26.2955
934,26.5648
935,27.7489
936,28.9136
937,28.9066
938,28.0603
939,27.7811
940,28.3391
941,28.4610
942,28.0662
943,27.7027
944,27.4786
945,27.8309
946,27.5780
947,27.2506
948,27.1091
949,27.0794
950,27.2328
951,27.9101
952,27.7559
953,27.3997
954,27.4679
955,27.1844
956,26.9687
957,26.9426
958,27.4327
959,28.1713
960,28.5460
961,28.6717
962,29.1848
963,29.1460
964,28.5428
965,28.2206
966,28.6279
967,28.8827
968,29.0233
969,29.1307
970,28.9205
971,28.7728
972,29.0082
973,28.7133
974,29.0771
975,29.1707
976,28.7749
977,28.9419
978,29.0051
979,28.9617
980,29.0577
981,29.6271
982,30.0166
983,30.3446
984,30.7836
985,31.2319
986,31.0102
987,30.2881
988,29.6420
989,29.7199
990,29.9874
991,30.2800
992,30.3340
993,29.9406
994,30.3961
995,30.7992
996,30.8666
997,30.4978
998,30.5292
999,30.4546
1000,31.1949
1001,31.2053
1002,30.9732
1003,31.1422
1004,32.1986
1005,32.8082
1006,33.4359
1007,32.8662
1008,32.3508
1009,32.2187
1010,32.5749
1011,32.3984
1012,32.0683
1013,32.2886
1014,32.6808
1015,32.8155
1016,33.1765
1017,33.8619
1018,34.4510
1019,34.2427
1020,34.2037
1021,34.3980
1022,35.0215
1023,34.6958
1024,33.7979
1025,33.5682
1026,33.4255
1027,33.3432
1028,33.9058
1029,33.9196
1030,33.9306
1031,34.7018
1032,34.8523
1033,35.0088
1034,33.9808
1035,33.0524
1036,33.2022
1037,33.3424
1038,33.8324
1039,33.9449
1040,33.1701
1041,33.6286
1042,34.1932
1043,34.3159
1044,33.6465
1045,33.6567
1046,33.3500
1047,33.4499
1048,33.3812
1049,33.6399
1050,33.2080
1051,33.7877
1052,34.4052
1053,34.7420
1054,34.2998
1055,34.6682
1056,36.0758
1057,36.9062
1058,37.1706
1059,37.6874
1060,37.3172
1061,36.8199
1062,36.4944
1063,35.4873
1064,35.4225
1065,35.4322
1066,35.1721
1067,35.1779
1068,34.8102
1069,34.2506
1070,34.0262
1071,34.0970
1072,34.0490
1073,33.3149
1074,33.7843
1075,34.0497
1076,33.5052
1077,33.8444
1078,34.8528
1079,35.5302
1080,35.1734
1081,34.4208
1082,34.6010
1083,34.6991
1084,34.1739
1085,35.1565
1086,36.6260
1087,37.4595
1088,37.0119
1089,37.0512
1090,36.2323
1091,36.1211
1092,36.6640
1093,36.5759
1094,35.9014
1095,35.3165
1096,35.3919
1097,36.5313
1098,36.8942
1099,36.8206
1100,35.4210
1101,34.2042
1102,34.0652
1103,35.0451
1104,36.3942
1105,37.2806
1106,36.0914
1107,35.4265
1108,35.5269
1109,36.2252
1110,35.7213
1111,36.1169
1112,36.0072
1113,35.7581
1114,36.3872
1115,37.0876
1116,36.2499
1117,35.0811
1118,34.7393
1119,34.4823
1120,34.7574
1121,34.8113
1122,35.6300
1123,37.5344
1124,38.7881
1125,38.0675
1126,36.9140
1127,36.0062
1128,36.4102
1129,36.1873
1130,35.5552
1131,35.5213
1132,35.4197
1133,35.8861
1134,37.5858
1135,38.5056
1136,37.7668
1137,37.8058
1138,37.5149
1139,36.4817
1140,36.1424
1141,34.9697
1142,34.7677
1143,35.3034
1144,35.3703
1145,35.6850
1146,37.7173
1147,38.0619
1148,37.6503
1149,38.3761
1150,38.0462
1151,37.5498
1152,36.9603
1153,35.8617
1154,35.0012
1155,34.6208
1156,35.5368
1157,35.1972
1158,34.3749
1159,35.0359
1160,35.2865
1161,35.2009
1162,35.5574
1163,34.8910
1164,33.6311
1165,33.9252
1166,34.1031
1167,34.2987
1168,34.3447
1169,34.3077
1170,34.1761
1171,34.9443
1172,35.7917
1173,37.0511
1174,38.2606
1175,38.3874
1176,37.5976
1177,36.2977
1178,35.4364
1179,35.4535
1180,34.9035
1181,35.8283
1182,37.4431
1183,38.0050
1184,37.4311
1185,37.4986
1186,35.3179
1187,33.0092
1188,32.7329
1189,32.8771
1190,31.7086
1191,31.0512
1192,30.4110
1193,29.7398
1194,29.4772
1195,29.6942
1196,30.4530
1197,31.3164
1198,32.4211
1199,33.0527
1200,33.0438
1201,33.3466
1202,34.0312
1203,33.9424
1204,32.8236
1205,31.8720
1206,31.7271
1207,32.0996
1208,32.3438
1209,32.5302
1210,32.7598
1211,31.8080
1212,30.6107
1213,29.9463
1214,29.9226
1215,30.9039
1216,31.4128
1217,31.4040
1218,31.0410
1219,31.3462
1220,31.2992
1221,31.3390
1222,31.6741
1223,33.3357
1224,34.2424
1225,35.4553
1226,34.8558
1227,33.8733
1228,34.2781
1229,34.3991
1230,34.1304
1231,33.4312
1232,32.9133
1233,32.8109
1234,32.5625
1235,32.5601
1236,32.4075
1237,32.1901
1238,32.5799
1239,33.0092
1240,33.5379
1241,33.2435
1242,32.3965
1243,32.3044
1244,33.3332
1245,33.9814
1246,33.1230
1247,32.7205
1248,33.1017
1249,34.1998
1250,34.5632
1251,35.4159
1252,38.0666
1253,40.1373
1254,41.3912
1255,41.8216
1256,41.1410
1257,39.8885
1258,39.3839
1259,39.3567
1260,40.4064
1261,41.0546
1262,41.4428
1263,41.1215
1264,39.9747
1265,39.3143
1266,38.5358
1267,37.8861
1268,37.6133
1269,36.2765
1270,35.9090
1271,36.6295
1272,37.3403
1273,37.8615
1274,37.9059
1275,36.9995
1276,36.8306
1277,37.2281
1278,38.3389
1279,38.0813
1280,37.5660
1281,37.6877
1282,37.9761
1283,39.7640
1284,41.5379
1285,42.6612
1286,42.9910
1287,42.3968
1288,42.5781
1289,43.7314
1290,45.3100
1291,46.3665
1292,47.0569
1293,44.4782
1294,43.4036
1295,42.5122
1296,41.2707
1297,40.8012
1298,41.4448
1299,41.5601
1300,40.2280
1301,39.8110
1302,38.8293
1303,38.2699
1304,38.3311
1305,36.9458
1306,35.0833
1307,33.0001
1308,34.6790
1309,36.6508
1310,38.8362
1311,42.2568
1312,44.2368
1313,44.6783
1314,45.6878
1315,47.8831
1316,51.1601
1317,52.4047
1318,51.0435
1319,50.2562
1320,51.9517
1321,52.3058
1322,51.4370
1323,50.9587
1324,50.7507
1325,51.6895
1326,51.4213
1327,48.3314
1328,44.5816
1329,41.2616
1330,38.9958
1331,37.3249
1332,35.6185
1333,34.9884
1334,34.3170
1335,33.8312
1336,33.7478
1337,33.5141
1338,33.8790
1339,35.3833
1340,36.3217
1341,37.0496
1342,36.5900
1343,37.5933
1344,38.4928
1345,39.1344
1346,40.8158
1347,41.6093
1348,42.8637
1349,44.2290
1350,45.7322
1351,48.9473
1352,53.2818
1353,56.5898
1354,56.1928
1355,54.3655
1356,52.4893
1357,52.0767
1358,52.4621
1359,52.5775
1360,53.4212
1361,55.8365
1362,55.6983
1363,57.1302
1364,59.0932
1365,60.3690
1366,58.2960
1367,54.8182
1368,53.4108
1369,50.2855
1370,46.4731
1371,44.4441
1372,42.0610
1373,39.8910
1374,39.2786
1375,39.2573
1376,38.9316
1377,38.7706
1378,38.2362
1379,37.1736
1380,37.6797
1381,37.6856
1382,37.7963
1383,38.7954
1384,42.2942
1385,47.2651
1386,49.9984
1387,51.2230
1388,51.1396
1389,49.4247
1390,48.1081
1391,46.2791
1392,45.2288
1393,46.6441
1394,48.9983
1395,50.4332
1396,51.0699
1397,51.5182
1398,50.7081
1399,50.1560
1400,50.0441
1401,53.1501
1402,55.6708
1403,58.7047
1404,62.1489
1405,60.2046
1406,56.0076
1407,51.1888
1408,47.8085
1409,45.7643
1410,44.0401
1411,43.4195
1412,43.2006
1413,43.4304
1414,44.8647
1415,46.4666
1416,48.1324
1417,49.2484
1418,49.9246
1419,50.6523
1420,52.0172
1421,56.4232
1422,58.9001
1423,59.7503
1424,59.5747
1425,57.2166
1426,53.9783
1427,52.2057
1428,51.7799
1429,52.4806
1430,52.3761
1431,53.1242
1432,54.8597
1433,57.3671
1434,58.1843
1435,59.2393
1436,59.4995
1437,54.7534
1438,50.4558
1439,48.5276
1440,48.8762
1441,50.2751
1442,51.8429
1443,49.4050
1444,45.3379
1445,40.9951
1446,40.6471
1447,42.3248
1448,43.9460
1449,45.2297
1450,44.2765
1451,40.8378
1452,38.8698
1453,38.5488
1454,40.2640
1455,40.8287
1456,40.1012
1457,40.2710
1458,40.1134
1459,40.2284
1460,40.6739
1461,40.1304
1462,39.4727
1463,38.9665
1464,38.3386
1465,37.7880
1466,38.1164
1467,41.3414
1468,46.1520
1469,47.8393
1470,46.4381
1471,45.2643
1472,45.0866
1473,43.4366
1474,42.1120
1475,42.5352
1476,43.5292
1477,45.7700
1478,49.7658
1479,55.3702
1480,60.6479
1481,63.9933
1482,64.9589
1483,64.2476
1484,59.5727
1485,55.2628
1486,50.8138
1487,47.5741
1488,46.5593
1489,46.1362
1490,45.1753
1491,44.5799
1492,43.7413
1493,43.2645
1494,42.0760
1495,41.5079
1496,40.0064
1497,38.0425
1498,35.2083
1499,32.5595
1500,31.2652
1501,30.2480
1502,30.0469
1503,29.9492
1504,29.9208
1505,29.7676
1506,29.9221
1507,32.0638
1508,35.4648
1509,38.5764
1510,40.0222
1511,40.9460
1512,40.6341
1513,41.4849
1514,42.8843
1515,42.9521
1516,42.5388
1517,42.1218
1518,42.3286
1519,44.7542
1520,48.3180
1521,50.4102
1522,48.6638
1523,47.4710
1524,47.1935
1525,47.5748
1526,48.6500
1527,47.5647
